value,label
Edmonton,Edmonton
Calgary,Calgary
Airdrie,Airdrie
Brooks,Brooks
Camrose,Camrose
Chestermere,Chestermere
ColdLake,Cold Lake
FortMcMurray,Fort McMurray
FortSaskatchewan,Fort Saskatchewan
GrandePrairie,Grande Prairie
Lacombe,Lacombe
Leduc,Leduc
Lethbridge,Lethbridge
Lloydminster,Lloydminster
MedicineHat,Medicine Hat
RedDeer,Red Deer
SherwoodPark,Sherwood Park
SpruceGrove,Spruce Grove
StAlbert,St. Albert
Wetaskiwin,Wetaskiwin
Morinville,Morinville
Strathmore,Strathmore
